row_num	source_locale	key	english	main_chinese	source_chinese	status	review_note
44	SkillLoc\Combat\en.json	675e49aef18bc5241c696d05 acceptMT	Steel sights, steel bullets. ...they're lead? Darn.	钢制瞄具，钢制子弹。……等等，是铅的？该死。	钢制瞄具，钢制子弹。……等等，是铅的？该死。	matches_source	Main mirror matches the manually reviewed source locale entry.
45	SkillLoc\Combat\en.json	675e49aef18bc5241c696d05 description	Being able to aim properly is probably the most important skill you can have here in Tarkov. Let's first get some practice with iron sights, since they're always going to be avalible.	能否正确瞄准，大概是你在塔科夫最重要的本事。先拿机械瞄具练练手吧，毕竟这东西永远都用得上。	能否正确瞄准，大概是你在塔科夫最重要的本事。先拿机械瞄具练练手吧，毕竟这东西永远都用得上。	matches_source	Main mirror matches the manually reviewed source locale entry.
46	SkillLoc\Combat\en.json	675e49aef18bc5241c696d05 name	Iron vision	铁瞄之眼	铁瞄之眼	matches_source	Main mirror matches the manually reviewed source locale entry.
47	SkillLoc\Combat\en.json	675e49aef18bc5241c696d05 successMT	Good shooting! Let's get you something fancier now	枪法不错！现在给你整点更高级的。	枪法不错！现在给你整点更高级的。	matches_source	Main mirror matches the manually reviewed source locale entry.
48	SkillLoc\Combat\en.json	675e4aeda564b925f7e3a40b	Kill 10 enemies with only iron sights	仅使用机械瞄具击杀10名敌人	仅使用机械瞄具击杀10名敌人	matches_source	Main mirror matches the manually reviewed source locale entry.
49	SkillLoc\Combat\en.json	675e4e80c11f6c442b45622a acceptMT	If the sight is a 1x sight, why does my vision scope in? Tarkov is a weird place	如果这是1倍瞄具，为什么我视野还是会拉近？塔科夫真是个怪地方。	如果这是1倍瞄具，为什么我视野还是会拉近？塔科夫真是个怪地方。	matches_source	Main mirror matches the manually reviewed source locale entry.
50	SkillLoc\Combat\en.json	675e4e80c11f6c442b45622a description	1x sights may not give you better range, but you'll get a much clearer picture of your target, allowing for much easier aim and recoil control. Find one you like and use it as much as you can!	1倍瞄具未必能让你打得更远，但能让你更清楚地看见目标，瞄准和控后坐也会轻松不少。找个你顺手的，尽量多用。	1倍瞄具未必能让你打得更远，但能让你更清楚地看见目标，瞄准和控后坐也会轻松不少。找个你顺手的，尽量多用。	matches_source	Main mirror matches the manually reviewed source locale entry.
51	SkillLoc\Combat\en.json	675e4e80c11f6c442b45622a name	Reflexive aim	反射瞄准	反射瞄准	matches_source	Main mirror matches the manually reviewed source locale entry.
52	SkillLoc\Combat\en.json	675e4e80c11f6c442b45622a successMT	Do you prefer reflex or holographic sights? Personally, I'm more of a reflex sight guy, I like the little dots over the bigger designs of holographics. Both have their perks though, don't let me sway you either way.	你更喜欢反射式还是全息瞄具？我个人更偏反射式，喜欢那个小点，不太喜欢全息那么大的图形。不过两种都有各自的优势，别因为我一句话就站队。	你更喜欢反射式还是全息瞄具？我个人更偏反射式，喜欢那个小点，不太喜欢全息那么大的图形。不过两种都有各自的优势，别因为我一句话就站队。	matches_source	Main mirror matches the manually reviewed source locale entry.
53	SkillLoc\Combat\en.json	675e5006ddef2e9fd8ade843	Kill 30 enemies with 1x sights	使用1倍瞄具击杀30名敌人	使用1倍瞄具击杀30名敌人	matches_source	Main mirror matches the manually reviewed source locale entry.
54	SkillLoc\Combat\en.json	675e5078844896fca88d21f8 acceptMT	Twice the range, twice the killing	双倍距离，双倍杀伤。	双倍距离，双倍杀伤。	matches_source	Main mirror matches the manually reviewed source locale entry.
55	SkillLoc\Combat\en.json	675e5078844896fca88d21f8 description	2x sights are a great choice for those quasi-close quarters engagememts. It's a shame only two of them made their way to Tarkov. Oh well. Let's make this one a bit more interesting, try putting a bit of distance between you and your opponent.	2倍瞄具很适合那种半近不近的交火。可惜塔科夫里总共也就那么两款。算了，这次来点更有意思的，尽量和对手拉开距离。	2倍瞄具很适合那种半近不近的交火。可惜塔科夫里总共也就那么两款。算了，这次来点更有意思的，尽量和对手拉开距离。	matches_source	Main mirror matches the manually reviewed source locale entry.
56	SkillLoc\Combat\en.json	675e5078844896fca88d21f8 name	Double trouble	双重麻烦	双重麻烦	matches_source	Main mirror matches the manually reviewed source locale entry.
57	SkillLoc\Combat\en.json	675e5078844896fca88d21f8 successMT	Did you end up liking either of the two? If you didn't, you never have to use them again.	最后你喜欢上那两款里的哪一个了吗？要是都不喜欢，以后也不用再碰。	最后你喜欢上那两款里的哪一个了吗？要是都不喜欢，以后也不用再碰。	matches_source	Main mirror matches the manually reviewed source locale entry.
58	SkillLoc\Combat\en.json	675e514227a7c600005fc261	Kill 30 enemies over 20 meters away with 2x sights	在20米外使用2倍瞄具击杀30名敌人	在20米外使用2倍瞄具击杀30名敌人	matches_source	Main mirror matches the manually reviewed source locale entry.
59	SkillLoc\Combat\en.json	675e51df3230ec7bd5c88a52 acceptMT	I mean, it's kind of aiming.	其实，这也算一种瞄准。	其实，这也算一种瞄准。	matches_source	Main mirror matches the manually reviewed source locale entry.
60	SkillLoc\Combat\en.json	675e51df3230ec7bd5c88a52 description	All this time holding the gun steady in front of your face... it's not the only way to shoot. In fact, it's not always the best way to shoot. Sometimes it's better if you know where your bullets are gonna go without looking through a sight. Let's see if your point fire is as good as your aimed fire.	你一直把枪稳稳举到眼前……但射击可不只有这一种方式。事实上，它也不总是最好的方式。有时候，不看瞄具也知道子弹会飞到哪，反而更有效。让我看看你的腰射是不是和瞄准射击一样可靠。	你一直把枪稳稳举到眼前……但射击可不只有这一种方式。事实上，它也不总是最好的方式。有时候，不看瞄具也知道子弹会飞到哪，反而更有效。让我看看你的腰射是不是和瞄准射击一样可靠。	matches_source	Main mirror matches the manually reviewed source locale entry.
61	SkillLoc\Combat\en.json	675e51df3230ec7bd5c88a52 name	Doing the opposite	反其道而行	反其道而行	matches_source	Main mirror matches the manually reviewed source locale entry.
62	SkillLoc\Combat\en.json	675e51df3230ec7bd5c88a52 successMT	Ah, so you are actually pointing your gun in the right spot. Very good.	啊，原来你真的知道枪口该指哪。很好。	啊，原来你真的知道枪口该指哪。很好。	matches_source	Main mirror matches the manually reviewed source locale entry.
63	SkillLoc\Combat\en.json	675e52451d1fc9a22c1872c3	Kill 40 enemies while hip / point firing	以腰射击杀 40 名敌人	以腰射击杀 40 名敌人	matches_source	Main mirror matches the manually reviewed source locale entry.
64	SkillLoc\Combat\en.json	675e52a13b41d2db126a9faa acceptMT	looooooooooooooooooooooooooooong range	超~~~~~~~~~~~~~~~~远距离。	超~~~~~~~~~~~~~~~~远距离。	matches_source	Main mirror matches the manually reviewed source locale entry.
65	SkillLoc\Combat\en.json	675e52a13b41d2db126a9faa description	Tarkov is quite a big place, don't you think? Plenty of areas have vast landscapes as far as the eye can see. There's plenty of land for a large scope to look over. 	塔科夫挺大，对吧？很多地方一眼望去都是开阔地形。这样的地盘，正适合让高倍率瞄具发挥作用。	塔科夫挺大，对吧？很多地方一眼望去都是开阔地形。这样的地盘，正适合让高倍率瞄具发挥作用。	matches_source	Main mirror matches the manually reviewed source locale entry.
66	SkillLoc\Combat\en.json	675e52a13b41d2db126a9faa name	All-seeing	洞悉一切	洞悉一切	matches_source	Main mirror matches the manually reviewed source locale entry.
67	SkillLoc\Combat\en.json	675e52a13b41d2db126a9faa successMT	Did you find some good spots for LDS?	找到几个适合远射的位置了吗？	找到几个适合远射的位置了吗？	matches_source	Main mirror matches the manually reviewed source locale entry.
68	SkillLoc\Combat\en.json	675e52dae6f6ce55e072ebdb	Kill 50 enemies over 70 away with 6x+ sights	在70米外使用6倍及以上瞄具击杀50名敌人	在70米外使用6倍及以上瞄具击杀50名敌人	matches_source	Main mirror matches the manually reviewed source locale entry.
